Solves;Best;Best Ao5;Best Ao12;Session Avg;Worst;Ao5;Ao12
-;-;-;-;-;-;-;-
5;0.88;0.94;-;0.94;1.06;0.94;-
5;0.88;0.94;-;0.94;1.06;0.94;-
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
209;0.13;0.21;0.25;0.46;2.82;0.83;0.61
